Question,Answer
"In NLP, Bidirectional context is supported by which of the following 
embedding 
a. Word2Vec 
b. BERT 
c. GloVe 
d. All the above","b) Only BERT provides a bidirectional context. The BERT model uses the previous and 
the next sentence to arrive at the context.Word2Vec and GloVe are word embeddings, they do 
not provide any context."
"Which one of the following Word embeddings can be custom trained for a 
specific subject in NLP 
a. Word2Vec 
b. BERT 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  c. GloVe 
d. All the above","b) BERT allows Transform Learning on the existing pre-trained models and hence can  
be custom trained for the given specific subject, unlike Word2Vec and GloVe where existing word 
embeddings can be used, no transfer learning on text is possible."
"Word embeddings capture multiple dimensions of data and are represented 
as vectors 
a. True 
b. False",a)
"In NLP, Word embedding vectors help establish distance between two tokens 
a. True 
b. False","a) One can use Cosine similarity to establish distance between two vectors represented 
through Word Embeddings"
"Language Biases are introduced due to historical data used during training of 
word embeddings, which one amongst the below is not an example of bias 
a. New Delhi is to India, Beijing is to China 
b. Man is to Computer, Woman is to Homemaker","a) 
Statement b) is a bias as it buckets Woman into Homemaker, whereas statement  a) is not a 
biased statement."
"Which of the following will be a better choice to address NLP use cases such 
as semantic similarity, reading comprehension, and common sense reasoning 
a. ELMo 
b. Open AI’s GPT  
c. ULMFit","b) Open AI’s GPT is able to learn complex pattern in data by using the Tr ansformer 
models Attention mechanism and hence is more suited for complex use cases such as semantic 
similarity, reading comprehensions, and common sense reasoning."
"Transformer architecture was first introduced with? 
a. GloVe 
b. BERT 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  c. Open AI’s GPT  
d. ULMFit","c) ULMFit has an LSTM based Language modeling architecture. This got replaced into 
Transformer architecture with Open AI’s GPT"
"Which of the following architecture can be trained faster and needs less 
amount of training data 
a. LSTM based Language Modelling 
b. Transformer architecture","b) Transformer architectures were supported from GPT onwards and were faster to 
train and needed less amount of data for training too."
"Same word can have multiple word embeddings possible with ____________? 
a. GloVe 
b. Word2Vec 
c. ELMo 
d. nltk","c) EMLo word embeddings supports same word with multiple embeddings, this help s 
in using the same word in a different context and thus captures the context than just meaning of 
the word unlike in GloVe and Word2Vec. Nltk is not a word embedding. 
 
 
 
 
Q30 For a given token, its input representation is the sum of embedding from the 
token, segment and position embedding 
a. ELMo 
b. GPT 
c. BERT 
d. ULMFit 
 
Answer :  c) BERT uses token, segment and position embedding."
"Trains two independent LSTM language model left to right and right to left and 
shallowly concatenates them 
a. GPT 
b. BERT 
c. ULMFit 
d. ELMo 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/","d) ELMo tries to train two independent LSTM language models (left to right  and right to 
left) and concatenates the results to produce word embedding."
"Uses unidirectional language model for producing word embedding 
a. BERT 
b. GPT 
c. ELMo 
d. Word2Vec","b) GPT is a unidirectional model and word embedding are produced by training on 
information flow from left to right. ELMo is bidirectional but shall ow. Word2Vec provides simple 
word embedding."
"In this architecture, the relationship between all words in a sentence is 
modelled irrespective of their position. Which architecture is this? 
a. OpenAI GPT 
b. ELMo 
c. BERT 
d. ULMFit","c)BERT Transformer architecture models the relationship between each word and all 
other words in the sentence to generate attention scores. These attention scores are later used 
as weights for a weighted average of all words’ representations which is fed into a f ully-connected 
network to generate a new representation."
"Transformer model pays attention to the most important word in Sentence 
a. True 
b. False 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/","a) Attention mechanisms in the Transformer model are used to model the relatio nship 
between all words and also provide weights to the most important word."
"Which NLP model gives the best accuracy amongst the following? 
a. BERT 
b. XLNET 
c. GPT-2 
d. ELMo","b) XLNET has given best accuracy amongst all the models. It has outperformed B ERT 
on 20 tasks and achieves state of art results on 18 tasks including sentiment an alysis, question 
answering, natural language inference, etc."
"Permutation Language models is a feature of 
a. BERT 
b. EMMo 
c. GPT 
d. XLNET","d) XLNET provides permutation-based language modelling and is a key difference from 
BERT. In permutation language modeling, tokens are predicted in a random manner and no t 
sequential. The order of prediction is not necessarily left to right and can be right to left. The 
original order of words is not changed but a prediction can be random.  
The conceptual difference between BERT and XLNET can be seen from the following diagram."
"There have some various common elements of natural language processing. 
Those elements are very important for understanding NLP properly, can you please 
explain the same in details with an example?","There have a lot of components normally using by natural language processing (NLP). Some  of 
the major components are explained below: 
● Extraction of Entity: It actually identifying and extracting some critical data from the 
available information which help to segmentation of provided sentence on identifying ea ch 
entity. It can help in identifying one human that it’s fictional or real, same kind of real ity 
identification for any organization, events or any geographic location etc. 
● The analysis in a syntactic way: it mainly helps for maintaining ordering properly of the  
available words. 
Q64 In the case of processing natural language, we normally mentioned one 
common terminology NLP and binding every language with the same terminology 
properly. Please explain in details about this NLP terminology with an example? 
Answer: 
This is the basic NLP Interview Questions asked in an interview. There have some several factors 
available in case of explaining natural language processing. Some of the key factors are given  
below: 
● Vectors and Weights: Google Word vectors, length of TF-IDF, varieties documents, w ord 
vectors, TF-IDF. 
● Structure of Text: Named Entities, tagging of part of speech, identifying the head of the 
sentence. 
● Analysis of sentiment: Know about the features of sentiment, entities available for the 
sentiment, sentiment common dictionary. 
● Classification of Text: Learning supervising, set off a train, set of validation  in Dev, Set of 
define test, a feature of the individual text, LDA. 
● Reading of Machine Language: Extraction of the possible entity, linking with an individual 
entity, DBpedia, some libraries like Pikes or FRED. 
 
Q65 Explain briefly about word2vec 
Word2Vec  embeds words in a lower-dimensional vector space using a shallow neural networ k. 
The result is a set of word-vectors where vectors close together in vector space have similar 
meanings based on context, and word-vectors distant to each other have differing mea nings. For 
example, apple and orange would be close together and apple and gravity would be relative ly far. 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  There are two versions of this model based on skip-grams (SG) and continuous- bag-of-words 
(CBOW). 
 
Q66 What are the metrics used to test an NLP model? 
Accuracy, Precision, Recall and F1. Accuracy is the usual ratio of the prediction t o the desired 
output. But going just be accuracy is naive considering the complexities involved.  
 
Q67 What are some ways we can preprocess text input? 
Here are several preprocessing steps that are commonly used for NLP tasks: 
● case normalization: we can convert all input to the same case (lowercase or uppercase) 
as a way of reducing our text to a more canonical form 
● punctuation/stop word/white space/special characters removal: if we don’t think these 
words or characters are relevant, we can remove them to reduce the feature space 
● lemmatizing/stemming: we can also reduce words to their inflecti onal forms (i.e. walks → 
walk) to further trim our vocabulary 
● generalizing irrelevant information: we can replace all numbers with a <NUMBER > token 
or all names with a <NAME> token 
 
 
Q68 How does the encoder-decoder structure work for language modelling? 
The encoder-decoder structure is a deep learning model architecture responsible for several s tate 
of the art solutions, including Machine Translation. 
The input sequence is passed to the encoder where it is transformed to a fixed -dimensional vector 
representation using a neural network. The transformed input is then decoded using anothe r 
neural network. Then, these outputs undergo another transformation and a softmax l ayer. The 
final output is a vector of probabilities over the vocabularies. Meaningful informatio n is extracted 
based on these probabilities. 
 
Q69 What are attention mechanisms and why do we use them? 
This was a followup to the encoder-decoder question. Only the output from  the last time step is 
passed to the decoder, resulting in a loss of information learned at previou s time steps. This 
information loss is compounded for longer text sequences with more time steps. 
Attention mechanisms are a function of the hidden weights at each time  step. When we use 
attention in encoder-decoder networks, the fixed-dimensional vector passed to t he decoder 
becomes a function of all vectors outputted in the intermediary steps. 
Two commonly used attention mechanisms are additive attention and multiplicative attention. A s 
the names suggest, additive attention is a weighted sum while multiplicative attention i s a 
weighted multiplier of the hidden weights. During the training process, the m odel also learns 
weights for the attention mechanisms to recognize the relative importance of each time step. 
 
Q70 How would you implement an NLP system as a service, and what are some 
pitfalls you might face in production? 
This is less of a NLP question than a question for productionizing machine learning models. There 
are however certain intricacies to NLP models. 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  Without diving too much into the productionization aspect, an ideal Machine Learning service wi ll 
have: 
● endpoint(s) that other business systems can use to make inference 
● a feedback mechanism for validating model predictions 
● a database to store predictions and ground truths from the feedback 
● a workflow orchestrator which will (upon some signal) re-train and load the ne w model for 
serving based on the records from the database + any prior training data 
● some form of model version control to facilitate rollbacks in case of bad deployments 
● post- production accuracy and error monitoring 
 
 
 
 
 
 
 
 
Q71 How can we handle misspellings for text input? 
By using word embeddings trained over a large corpus (for instance, an extensive web scrape of 
billions of words), the model vocabulary would include common misspellings by design. The 
model can then learn the relationship between misspelled and correctly spelled words to 
recognize their semantic similarity. 
We can also preprocess the input to prevent misspellings. Terms not found in the m odel 
vocabulary can be mapped to the “closest” vocabulary term using:  
● edit distance between strings 
● phonetic distance between word pronunciations 
● keyword distance to catch common typos 
 
Q72 Which of the following models can perform tweet classification with regards 
to context mentioned above? 
A) Naive Bayes 
B) SVM 
C) None of the above 
Solution: (C) 
Since, you are given only the data of tweets and no other information, whi ch means there is no 
target variable present. One cannot train a supervised learning model, both svm and naive bayes 
are supervised learning techniques. 
 
Q73 You have created a document term matrix of the data, treating every tweet as 
one document. Which of the following is correct, in regards to document term 
matrix? 
1. Removal of stopwords from the data will affect the dimensionality of data 
2. Normalization of words in the data will reduce the dimensionality of data 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  3. Converting all the words in lowercase will not affect the dimensionality of the  data 
A) Only 1 
B) Only 2 
C) Only 3 
D) 1 and 2 
E) 2 and 3 
F) 1, 2 and 3 
Solution: (D) 
Choices A and B are correct because stopword removal will decrease the number of feature s in 
the matrix, normalization of words will also reduce redundant features, and, convert ing all words 
to lowercase will also decrease the dimensionality. 
  
 
 
 
 
Q74 Which of the following features can be used for accuracy improvement of a 
classification model? 
A) Frequency count of terms 
B) Vector Notation of sentence 
C) Part of Speech Tag 
D) Dependency Grammar 
E) All of these 
Solution: (E) 
All of the techniques can be used for the purpose of engineering features in a model. 
  
Q75 What percentage of the total statements are correct with regards to Topic 
Modeling? 
1. It is a supervised learning technique 
2. LDA (Linear Discriminant Analysis) can be used to perform topic modeling 
3. Selection of number of topics in a model does not depend on the size of data 
4. Number of topic terms are directly proportional to size of the data 
A) 0 
B) 25 
C) 50 
D) 75 
E) 100 
Solution: (A) 
LDA is unsupervised learning model, LDA is latent Dirichlet allocation, not Linear discriminant 
analysis. Selection of the number of topics is directly proportional to the size of the dat a, while 
number of topic terms is not directly proportional to the size of the data. Hence no ne of the 
statements are correct. 
  
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  Q76 In Latent Dirichlet Allocation model for text classification purposes, what does 
alpha and beta hyperparameter represent- 
A) Alpha: number of topics within documents, beta: number of terms within topi cs False 
B) Alpha: density of terms generated within topics, beta: density of top ics generated within terms 
False 
C) Alpha: number of topics within documents, beta: number of terms within topi cs False 
D) Alpha: density of topics generated within documents, beta: density of term s generated within 
topics True 
Solution: (D) 
Option D is correct 
 
 
 
 
 
Q77 What is the problem with ReLu? 
● Exploding gradient(Solved by gradient clipping) 
● Dying ReLu — No learning if the activation is 0 (Solved by parametric rel u) 
● Mean and variance of activations is not 0 and 1.(Partially solved by subtracting around 0.5 
from activation. Better explained in fastai videos) 
 
Q78 What is the difference between learning latent features using SVD and getting 
embedding vectors using deep network? 
SVD uses linear combination of inputs while a neural network uses nonlinear combination . 
 
Q79 What is the information in the hidden and cell state of LSTM? 
Hidden stores all the information till that time step and cell state stores  particular information that 
might be needed in the future time step. 
Number of parameters in an LSTM model with bias 
4(𝑚h+h²+h) where 𝑚 is input vectors size and h is output vectors size a.k.a. hidden 
The point to see here is that mh dictates the model size as m>>h. Hence  it's important to have a 
small vocab. 
Time complexity of LSTM 
seq_length*hidden² 
Time complexity of transfomer 
seq_length²*hidden 
When hidden size is more than the seq_length(which is normally the case), transfomer is faster 
than LSTM. 
 
Q80 When is self-attention not faster than recurrent layers? 
When the sequence length is greater than the representation dimensions. This is rare.  
 
Q81 What is the benefit of learning rate warm- up? 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  Learning rate warm-up is a learning rate schedule where you have low (or lower) learning rate at 
the beginning of training to avoid divergence due to unreliable gradients at the beginning. As t he 
model becomes more stable, the learning rate would increase to speed up convergence. 
 
Q82 What’s the difference between hard and soft parameter sharing in multi -task 
learning? 
Hard sharing is where we train for all the task at the same time and update our weights using all 
the losses whereas soft sharing is where we train for one task at a time. 
 
Q83 What’s the difference between BatchNorm and LayerNorm?  
BatchNorm computes the mean and variance at each layer for every minibatch whereas 
LayerNorm computes the mean and variance for every sample for each layer independently.  
Batch normalisation allows you to set higher learning rates, increasing speed of  training as it 
reduces the unstability of initial starting weights. 
Q84 Difference between BatchNorm and LayerNorm? 
BatchNorm — Compute the mean and var at each layer for every minibatch 
LayerNorm — Compute the mean and var for every single sample for each layer independently 
 
Q85 Why does the transformer block have LayerNorm instead of BatchNorm? 
Looking at the advantages of LayerNorm, it is robust to batch size and works better as i t works at 
the sample level and not batch level. 
 
Q86 What changes would you make to your deep learning code if you knew there  
are errors in your training data? 
We can do label smoothening where the smoothening value is based on % error. If any particular 
class has known error, we can also use class weights to modify the loss. 
 
Q87 What are the tricks used in ULMFiT? (Not a great questions but checks the 
awareness) 
● LM tuning with task text 
● Weight dropout 
● Discriminative learning rates for layers 
● Gradual unfreezing of layers 
● Slanted triangular learning rate schedule 
This can be followed up with a question on explaining how they help. 
 
Q88 Tell me a language model whi ch doesn’t use dropout  
ALBERT v2 — This throws a light on the fact that a lot of assumptions we take for granted are  
not necessarily true. The regularisation effect of parameter sharing in ALBERT is so strong that 
dropouts are not needed. (ALBERT v1 had dropouts.) 
 
Q89 What are the differences between GPT and GPT-2? (From Lilian Weng) 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  ● Layer normalization  was moved to the input of each sub-block, similar to a residual unit of 
type “building block”  (differently from the original type  “bottleneck” , it has batch 
normalization applied before weight layers). 
● An additional layer normalization was added after the final self-attention block. 
● A modified initialization was constructed as a function of the model depth. 
● The weights of residual layers were initially sca led by a factor of 1/√n where n is the 
number of residual layers. 
● Use larger vocabulary size and context size. 
 
Q90 What are the differences between GPT and BERT? 
 
● GPT is not bidirectional and has no concept of masking 
● BERT adds next sentence prediction task in training and so it also has a seg ment 
embedding 
Q91 What are the differences between BERT and ALBERT v2? 
● Embedding matrix factorisation(helps in reducing no. of parameters) 
● No dropout 
● Parameter sharing(helps in reducing no. of parameters and regularisation) 
Q92 How does parameter sharing in ALBERT affect the training and inference time? 
No effect. Parameter sharing just decreases the number of parameters. 
Q93 How would you reduce the inference time of a trained NN model? 
● Serve on GPU/TPU/FPGA 
● 16 bit quantisation and served on GPU with fp16 support 
● Pruning to reduce parameters 
● Knowledge distillation (To a smaller transformer model or simple neural network) 
● Hierarchical softmax/Adaptive softmax 
● You can also cache results as explained here. 
Q94 Would you use BPE with classical models? 
Of course! BPE is a smart tokeniser and it can help us get a smaller vocabu lary which can help 
us find a model with less parameters. 
Q95 How would you make an arxiv papers search engine? (I was asked — How 
would you make a plagiarism detector?) 
 
Get top k results with TF-IDF similarity and then rank results with 
● semantic encoding + cosine similarity 
● a model trained for ranking 
 
Steve Nouri                          https://www.linkedin.com/in/stevenouri/  Q96 Get top k results with TF-IDF similarity and then rank results with 
● semantic encoding + cosine similarity 
● a model trained for ranking 
Q97 How would you make a sentiment classifier? 
This is a trick question. The interviewee can say all things such as using transfer l earning and 
latest models but they need to talk about having a neutral class too otherwise you can have really 
good accuracy/f1 and still, the model will classify everything into positive or nega tive. 
The truth is that a lot of news is neutral and so the training need s to have this class. The 
interviewee should also talk about how he will create a dataset and his training st rategies like the 
selection of language model, language model fine-tuning and using various datasets for multi-
task learning. 
Q98 What is the difference between regular expression and regular grammar? 
A regular expression is the representation of natural language in the form of mathe matical 
expressions containing a character sequence. On the other hand, regular grammar is th e 
generator of natural language, defining a set of defined rules and syntax which the strings in the 
natural l anguage must follow.  
 
Q99 Why should we use Batch Normalization? 
Once the interviewer has asked you about the fundamentals of deep learning architect ures, they 
would move on to the key topic of improving your deep learning model’s perform ance.  
Batch Normalization is one of the techniques used for reducing the training time of our deep 
learning algorithm. Just like normalizing our input helps improve our logist ic regression model, we 
can normalize the activations of the hidden layers in our deep learning model as well: 
 
Q100 How is backpropagation different in RNN compared to ANN? 
In Recurrent Neural Networks, we have an additional loop at each node: 
This loop essentially includes a time component into the network as well. This helps in capturing 
sequential information from the data, which could not be possible in a generic art ificial neural 
network. 
This is why the backpropagation in RNN is called Backpropagation through Time, as in  
backpropagation at each time step."
What do you know about NLP?,NLP stands for Natural Language Processing. It deals with making a machine understand the way human beings read and write in a language. This task is achieved by designing algorithms that can extract meaning from large datasets in audio or text format by applying machine learning algorithms.
Give examples of any two real-world applications of NLP.,"1. Spelling/Grammar Checking Apps:The mobile applications and websites that offer users correct grammar mistakes in the entered text rely on NLP algorithms. These days, they can also recommend the following few words that the user might type, which is also because of specific NLP models being used in the backend. 2.ChatBots:Many websites now offer customer support through these virtual bots that chat with the user and resolve their problems. It acts as a filter to the issues that do not require an interaction with the companies’ customer executives. Begin Your Big Data Journey with ProjectPro's Project-BasedPySpark Online Course!"
What is tokenization in NLP?,Tokenization is the process of splitting running text into words and sentences.
What is the difference between stemming and lemmatization?,"Both stemming and lemmatization are keyword normalization techniques aiming to minimize the morphological variation in the words they encounter in a sentence. But, they are different from each other in the following way."
What is NLU?,"NLU stands for Natural Language Understanding. It is a subdomain of NLP that concerns making a machine learn the skills of reading comprehension. A few applications of NLU include Machine translation (MT), Newsgathering, and Text categorization. It often goes by the name Natural Language Interpretation (NLI) as well."
What do you know about Latent Semantic Indexing (LSI)?,LSI is a technique that analyzes a set of documents to find the statistical coexistence of words that appear together. It gives an insight into the topics of those documents. LSI is also known as Latent Semantic Analysis.
List a few methods for,1. Bag-of-Words 2. Word Embedding
What are stop words?,"Stop words are the words in a document that are considered redundant by NLP engineers and are thus removed from the document before processing it. Few examples are ‘is’, ‘the’, ‘are, ‘am’."
What do you know about Dependency Parsing?,Dependency parsing is a technique that highlights the dependencies among the words of a sentence to understand its grammatical structure. It examines how the words of a sentence are linguistically linked to each other. These links are called dependencies.
What is Text Summarization? Name its two types.,Text Summarizationis a method of converting a long-form text into a summary. The summary thus generated is expected to have critical ideas of the lengthy text. Two main types of Text Summarization are:
What are false positives and false negatives?,"If a machine learning algorithm falsely predicts a negative outcome as positive, then the result is labeled as a false negative. And, if a machine learning algorithm falsely predicts a positive outcome as negative, then the result is labeled as a false positive."
List a few methods for part-of-speech tagging.,"Rule-based tagging, HMM-tagging, transformation-based tagging, and memory-based tagging."
What is a corpus?,"‘Corpus’ is a Latin word that means ‘body.’ Thus, a body of the written or spoken text is called a corpus. Recommended Reading:10 NLP Techniques Every Data Scientist Should Know"
List a few real-world applications of the n-gram model.,1. Augmentive Communication 2. Part-of-speech Tagging 3. Natural language generation 4. Word Similarity 5. Authorship Identification 6. Sentiment Extraction 7. Predictive Text Input
What does TF*IDF stand for? Explain its significance.,"TF*IDF stands for Term-Frequency/Inverse-Document Frequency. It is an information-retrieval measure that encapsulates the semantic significance of a word in a particular document N, by degrading words that tend to appear in a variety of different documents in some huge background corpus with D documents. Letnwdenote the frequency of a wordwin the documentN,mrepresents the total number of documents in the corpus that contain w. Then, TF*IDF is defined as TF*IDF(w)=nw×lognm"
What is perplexity in NLP?,"It is a metric that is used to test the performance of language models. Mathematically, it is defined as a function of the probability that the language model represents a test sample. For a test sample X = x1, x2, x3,....,xn, the perplexity is given by, PP(X)=P(x1,x2,…,xN)-1N where N is the total number of word tokens. Higher the perplexity, lesser is the information conveyed by the language model."
Which algorithm in NLP supports bidirectional context?,BERT
What is the Naive Bayes algorithm?,Naive Bayes is aclassification machine learning algorithmthat utilizes Baye’s Theorem for labeling a class to the input set of features. A vital element of this algorithm is that it assumes that all the feature values are independent.
What is Part-of-Speech tagging?,Part-of-speech tagging is the task of assigning a part-of-speech label to each word in a sentence. A variety of part-of-speech algorithms are available that contain tagsets having several tags between 40 and 200.
What is the bigram model in NLP?,"A bigram model is a model used in NLP for predicting the probability of a word in a sentence using the conditional probability of the previous word. For calculating the conditional probability of the previous word, it is crucial that all the previous words are known."
What is the significance of the Naive Bayes algorithm in NLP?,"The Naive Bayes algorithm is widely used in NLP for various applications. For example: to determine the sense of a word, to predict the tag of a given text, etc."
What do you know about the Masked Language Model?,The Masked Language Model is a model that takes a sentence with a few hidden (masked) words as input and tries to complete the sentence by correctly guessing those hidden words.
Briefly describe the N-gram model in NLP.,"N-gram model is a model in NLP that predicts the probability of a word in a given sentence using the conditional probability of n-1 previous words in the sentence. The basic intuition behind this algorithm is that instead of using all the previous words to predict the next word, we use only a few previous words."
What is the Markov assumption for the bigram model?,The Markov assumption assumes for the bigram model that the probability of a word in a sentence depends only on the previous word in that sentence and not on all the previous words.
What do you understand by word embedding?,"In NLP, word embedding is the process of representing textual data through a real-numbered vector. This method allows words having similar meanings to have a similar representation."
What is an embedding matrix?,A word embedding matrix is a matrix that contains embedding vectors of all the words in a given text.
List a few popular methods used for word embedding.,Following are a few methods of word embedding.
How will you use Python’s concordance command in,"The concordance() function can easily be accessed for a text that belongs to the NLTK package using the following code: >>>from nltk.book import * >>>text1.concordance(""monstrous"") However, for a text that does not belong to the NLTK package, one has to use the following code to access that function. >>>import nltk.corpus >>>from nltk.text import Text >>>NLTKtext = Text(nltk.corpus.gutenberg.words('Your_file_name_here.txt')) >>>NLTKtext.concordance('word') Here, we have created a Text object to access the concordance() function. The function displays the occurrence of the chosen word and the context around it."
Write the code to count the number of distinct tokens in a text?,len(set(text))
What are the first few steps that you will take before applying an NLP machine-learning algorithm to a given corpus?,Ans: 1. Removing white spaces 2. Removing Punctuations 3. Converting Uppercase to Lowercase 4.Tokenization 5.Removing Stopwords 6. Lemmatization
"For correcting spelling errors in a corpus, which one is a better choice: a giant dictionary or a smaller dictionary, and why?","Initially, a smaller dictionary is a better choice because most NLP researchers feared that a giant dictionary would contain rare words that may be similar to misspelled words. However, later it was found (Damerau and Mays (1989)) that in practice, a more extensive dictionary is better at marking rare words as errors."
